Area, AMOEBA, Value
1, 34, 61
2, 0, 8
3, 0, 15
4, -6, 5
5, -1, 4
6, -1, 0
7, -1, 15
8, -1, 4
9, -19, 3
10, -6, 4
11, -6, 2
12, -6, 2
13, 2, 52
14, 2, 43
15, -1, 4
16, -1, 2
17, -1, 1
18, -1, 2
19, -1, 11
20, -1, 8
21, 0, 24
22, 0, 64
23, -1, 1
24, -1, 5
25, 5, 48
26, 41, 42
27, -1, 8
28, -1, 5
29, -1, 9
30, -1, 13
31, -1, 2
32, 5, 91
33, 5, 46
34, 41, 63
35, 0, 13
36, 0, 11
37, -1, 0
38, -1, 2
39, -1, 2
40, -6, 5
41, 0, 29
42, 0, 17
43, 2, 41
44, -1, 3
45, -1, 3
46, 5, 71
47, 5, 90
48, 8, 45
49, 0, 22
50, 2, 54
51, 2, 48
52, -19, 1
53, 0, 22
54, 0, 26
55, 0, 27
56, 0, 8
57, 2, 68
58, 2, 74
59, -1, 10
60, 8, 51
61, -1, 9
62, -1, 7
63, -1, 3
64, -1, 2
65, -1, 1
66, -1, 8
67, -1, 6
68, -1, 2
69, -1, 0
70, 1, 66
71, 1, 49
72, -19, 7
73, -19, 9
74, 0, 18
75, -1, 9
76, 5, 55
77, 0, 37
78, 2, 96
79, -1, 5
80, -1, 13
81, -1, 5
82, -1, 4
83, -1, 6
84, -1, 4
85, -1, 1
86, -1, 4
87, -1, 3
88, -1, 1
89, 1, 50
90, 0, 34
91, 0, 16
92, -19, 4
93, -19, 9
94, 0, 20
95, 0, 32
96, 8, 45
97, 8, 45
98, 5, 78
99, 5, 66
100, 5, 147
101, -1, 3
102, -1, 6
103, -1, 0
104, -1, 5
105, -1, 1
106, -1, 4
107, -1, 2
108, -19, 7
109, 0, 17
110, 0, 20
111, 2, 40
112, 0, 32
113, 2, 102
114, 0, 23
115, 0, 38
116, -1, 3
117, 0, 31
118, -1, 3
119, 0, 33
120, 0, 16
121, 0, 17
122, -1, 5
123, -1, 7
124, -1, 2
125, -1, 5
126, -1, 1
127, -1, 4
128, 2, 81
129, 2, 78
130, 2, 36
131, 0, 27
132, 0, 15
133, -19, 4
134, -1, 3
135, 0, 28
136, -6, 5
137, 0, 37
138, 0, 38
139, 0, 8
140, -1, 9
141, -1, 1
142, -1, 10
143, -1, 15
144, -1, 7
145, -1, 10
146, -1, 11
147, -1, 11
148, -1, 2
149, -1, 3
150, -1, 6
151, -1, 1
152, 0, 33
153, -1, 6
154, -1, 7
155, -1, 0
156, 2, 37
157, 0, 22
158, -19, 5
159, -6, 0
160, -6, 9
161, 0, 16
162, 2, 44
163, -1, 2
164, -1, 2
165, -1, 0
166, -1, 7
167, 0, 17
168, -1, 0
169, 2, 55
170, 0, 21
171, -1, 8
172, -1, 4
173, 0, 20
174, -1, 0
175, 0, 3
176, 2, 51
177, 1, 61
178, 2, 67
179, 0, 23
180, -1, 9
181, -1, 5
182, -1, 0
183, -1, 4
184, -1, 1
185, -1, 2
186, -1, 4
187, -1, 2
188, -1, 3
189, -1, 3
190, -1, 0
191, -1, 4
192, -1, 2
193, -1, 3
194, -1, 11
195, -1, 8
196, -1, 9
197, -1, 11
198, -1, 7
199, -1, 5
200, -1, 4
201, -1, 8
202, 0, 23
203, -1, 13
204, 0, 38
205, -1, 6
206, 0, 17
207, -1, 0
208, -1, 2
209, -1, 5
210, 0, 21
211, -1, 5
212, -1, 10
213, -1, 4
214, -1, 4
215, -1, 7
216, -1, 7
217, -1, 2
218, -1, 4
219, 0, 20
220, 0, 36
221, 0, 23
222, 0, 16
223, 5, 51
224, -1, 3
225, -1, 2
226, -1, 1
227, -1, 1
228, -1, 6
229, -1, 1
230, 0, 23
231, 2, 52
232, 0, 15
233, 0, 6
234, 2, 44
235, 0, 24
236, 0, 21
237, 16, 52
238, 5, 35
239, 0, 10
240, 0, 24
241, -1, 4
242, -1, 1
243, 5, 61
244, 0, 18
245, 0, 16
246, 0, 33
247, -13, 0
248, -13, 0
249, 2, 41
250, -6, 2
251, 0, 12
252, 2, 45
253, 2, 87
254, -38, 11
255, -1, 2
256, -1, 4
257, -1, 0
258, -1, 1
259, -1, 4
260, -1, 5
261, -1, 0
262, -1, 13
263, -1, 5
264, -1, 8
265, -1, 1
266, -1, 1
267, 5, 109
268, 5, 58
269, -38, 8
270, 0, 14
271, 0, 16
272, 0, 21
273, 0, 25
274, 2, 40
275, 0, 26
276, -1, 3
277, -1, 4
278, -1, 7
279, -1, 8
280, -1, 3
281, -1, 1
282, -1, 4
283, -1, 4
284, -1, 7
285, 5, 51
286, 0, 36
287, -1, 0
288, -6, 0
289, 0, 23
290, -19, 0
291, 2, 45
292, 2, 56
293, 2, 54
294, 0, 21
295, 0, 33
296, 0, 25
297, 0, 12
298, 2, 40
299, 5, 78
300, 0, 29
301, 0, 23
302, 0, 31
303, 0, 13
304, 0, 22
305, 0, 16
306, 0, 27
307, 0, 16
308, 2, 55
309, 2, 45
310, 0, 19
311, 2, 57
312, 0, 16
313, 0, 89
314, 2, 49
315, 2, 61
316, 2, 40
317, 2, 73
318, -1, 0
319, -19, 5
320, -19, 1
321, -19, 0
322, -19, 0
323, -19, 2
324, -19, 0
325, -19, 5
326, -1, 5
327, -1, 1
328, -1, 1
329, -24, 0
330, 0, 13
331, 0, 5
332, 0, 29
333, 2, 40
334, -1, 0
335, -1, 0
336, 0, 2
337, 0, 32
338, 0, 28
339, 0, 12
340, 16, 34
341, 2, 47
342, -1, 0
343, -1, 0
344, -1, 0
345, 2, 57
346, 2, 79
347, 0, 19
348, -19, 6
349, 0, 20
350, 0, 29
351, 0, 24
352, 0, 15
353, 0, 26
354, 0, 3
355, 0, 32
356, -1, 0
357, -1, 0
358, 0, 13
359, 0, 31
360, -19, 6
361, -19, 9
362, -19, 7
363, -19, 9
364, -1, 0
365, -1, 0
366, 0, 20
367, -19, 0
368, -19, 0
369, -19, 0
370, -19, 0
371, 0, 13
372, -38, 10
373, -38, 5
374, -38, 11
375, 0, 19
376, 0, 13
377, -38, 2
378, -38, 0
379, -38, 8
380, 0, 16
381, 0, 44
382, 0, 13
383, 0, 17
384, 0, 21
385, 0, 26
386, 0, 18
387, 0, 23
388, -19, 2
389, -19, 0
390, 0, 17
391, -19, 1
392, -19, 1
393, -19, 0
394, 0, 33
395, 0, 14
396, 0, 7
397, 0, 31
398, 2, 44
399, 2, 37
400, -38, 9
401, -38, 4
