Area, AMOEBA, Value
1, 0, 36.8
2, 0, 37.5
3, 1, 43.8
4, 1, 45.2
5, 1, 43.7
6, 1, 41.5
7, 1, 43.2
8, -1, 26.2
9, -1, 29.4
10, -1, 28.3
11, -1, 28.4
12, -1, 29.9
13, -2, 24.8
14, -2, 24.7
15, 0, 39.3
16, 239, 42.8
17, -66, 34.5
18, -66, 31.1
19, -66, 34.7
20, 0, 32.6
21, 0, 37.6
22, 258, 37.9
23, 258, 39.5
24, 0, 35.9
25, 0, 36.1
26, 1, 45.9
27, 0, 36.0
28, 0, 36.8
29, -11, 33.1
30, 0, 35.7
31, 0, 34.8
32, -148, 32.8
33, 0, 34.6
34, -11, 32.8
35, 1, 40.6
36, 1, 42.1
37, 92, 40.9
38, 0, 40.4
39, 92, 39.9
40, 92, 40.6
41, 0, 32.1
42, 258, 41.3
43, 0, 36.4
44, 1, 42.7
45, 1, 44.7
46, 1, 39.8
47, 1, 43.3
48, 1, 45.9
49, 1, 44.7
50, 1, 49.6
51, -7, 31.8
52, 0, 36.7
53, -22, 33.2
54, 0, 34.8
55, 0, 31.7
56, 0, 37.6
57, -7, 30.8
58, -7, 33.0
59, -7, 27.0
60, 0, 35.6
61, 0, 30.8
62, 0, 38.7
63, 0, 32.0
64, 0, 40.8
65, 0, 37.1
66, 0, 35.1
67, 258, 38.0
68, 1, 39.6
69, 1, 49.3
70, 92, 41.3
71, -11, 31.3
72, 0, 36.1
73, 258, 41.2
74, 258, 38.5
75, 0, 36.3
76, 0, 34.7
77, 0, 37.4
78, -7, 26.9
79, -122, 32.1
80, -44, 33.9
81, -44, 33.1
82, 0, 33.2
83, 0, 36.8
84, 258, 40.3
85, 0, 37.4
86, 0, 34.3
87, 1, 41.2
88, -122, 34.7
89, 1, 42.7
90, 1, 45.4
91, 1, 40.3
92, -1, 31.7
93, 0, 38.3
94, 0, 34.3
95, 0, 36.6
96, 0, 35.3
97, 0, 37.0
98, -44, 31.2
99, 0, 32.6
100, 0, 36.0
101, 0, 37.8
102, 0, 33.3
103, 258, 38.0
104, 258, 39.1
105, 12, 44.0
106, 12, 47.6
107, 12, 47.6
108, 12, 41.5
109, 0, 36.7
110, 12, 45.2
111, 12, 42.1
112, 258, 39.6
113, 188, 42.8
114, 1, 39.9
115, 1, 39.9
116, 1, 41.1
117, 0, 39.0
118, 0, 34.4
119, 0, 44.0
120, 0, 33.8
121, 0, 41.8
122, 258, 39.0
123, -22, 28.6
124, 44, 43.1
125, 0, 33.6
126, 0, 33.7
127, 1, 44.3
128, 1, 41.8
129, 1, 41.3
130, 0, 34.8
131, 258, 38.5
132, 0, 35.2
133, 258, 40.3
134, 258, 39.5
135, 258, 40.1
136, 258, 39.1
137, 92, 41.3
138, -11, 33.2
139, -11, 22.2
140, -1, 29.9
141, 258, 38.0
142, 1, 41.5
143, 258, 38.7
144, -1, 31.5
145, -1, 28.7
146, 0, 34.5
147, -1, 29.4
148, -1, 30.7
149, -1, 32.6
150, -2, 20.9
151, -2, 25.7
152, -2, 24.9
153, -2, 29.0
154, -2, 24.8
155, -2, 28.7
156, -2, 27.4
157, -7, 30.9
158, 258, 39.8
159, 0, 33.0
160, 0, 37.3
161, 0, 36.9
162, -129, 33.5
163, 258, 41.5
164, 1, 46.1
165, 258, 39.1
166, 1, 40.7
167, 1, 42.0
168, 1, 43.0
169, 1, 44.6
170, -11, 33.5
171, 0, 35.7
172, 0, 37.7
173, 258, 38.5
174, 1, 39.8
175, 0, 36.9
176, 258, 38.3
177, 92, 40.6
178, 92, 39.7
179, 0, 35.4
180, 92, 39.8
181, 92, 40.8
182, 1, 40.3
183, 1, 41.0
184, 1, 42.4
185, 1, 42.7
186, 258, 38.4
187, 1, 44.7
188, 258, 37.9
189, 1, 40.9
190, 1, 42.7
191, 1, 45.0
192, -7, 30.7
193, 0, 36.9
194, 258, 39.8
195, 92, 42.1
196, 0, 36.9
197, 0, 37.8
198, 92, 39.9
199, 1, 39.8
200, 1, 51.0
201, 0, 36.2
202, 258, 38.9
203, -11, 32.7
204, -11, 23.7
205, -11, 33.7
206, 0, 35.3
207, -11, 32.0
208, -11, 32.9
209, 258, 38.9
210, -7, 25.9
211, 0, 37.0
212, -7, 32.2
213, 0, 32.4
214, 0, 35.3
215, 1, 39.8
216, 1, 39.6
217, 258, 39.4
218, -44, 32.3
219, 258, 40.5
220, -44, 35.2
221, 258, 38.5
222, -44, 32.4
223, 1, 42.7
224, 1, 42.8
225, 0, 36.9
226, 1, 43.2
227, 1, 45.4
228, -1, 27.0
229, 0, 39.4
230, 0, 34.7
231, 0, 33.0
232, 0, 35.3
233, -282, 32.0
234, -282, 31.4
235, 0, 36.8
236, 1, 40.9
237, 258, 39.0
238, 0, 36.5
239, 1, 47.2
240, -234, 33.3
241, -234, 34.6
242, 92, 39.9
243, 0, 34.2
244, 0, 37.5
245, 258, 39.1
246, 0, 37.7
247, 258, 38.3
248, 0, 37.4
249, 258, 41.4
250, 258, 39.5
251, 0, 33.1
252, 0, 37.5
253, 1, 42.2
254, 258, 39.5
255, 0, 37.4
256, 258, 41.7
257, 0, 37.6
258, 258, 38.6
259, 0, 37.6
260, 1, 39.9
261, 1, 40.2
